Winery Name,Address,max group size,Tasting Price,Wine Specialties
Adelaida Vineyard & Winery,5805 Adelaida Road Paso Robles CA 93446,7,10,"Known for complex roussanne, estate grenache, crisp sauvignon blanc, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Adelaida Vineyards & Winery,"5805 Adelaida Rd, Paso Robles, CA 93446",4,30,"Known for elegant merlot, refreshing grenache blanc, rich petit verdot, and spicy zinfandel."
Allegretto Wines,"2700 Buena Vista Dr, Paso Robles, CA 93446",12,15,"Known for rich petit verdot, cabernet franc blends, and vibrant marsanne."
Alta Colina Vineyard & Winery,"2825 Adelaida Rd, Paso Robles, CA 93446",11,40,"Known for complex roussanne, elegant merlot, savory mourvèdre, and cabernet franc blends."
Ancient Peaks Winery,"22720 El Camino Real, Santa Margarita, CA 93453",11,30,Showcases classic gsm blends (grenache‑syrah‑mourvèdre) and spicy zinfandel.
AronHill Winery & Vineyard,"3745 CA-46 W, Templeton, CA 93465",8,15,"Known for barrel‑fermented chardonnay, refreshing grenache blanc, vibrant marsanne, and crisp sauvignon blanc."
Asuncion Ridge Vineyards,2560 La Panza Road Creston CA 93432,7,10,"Known for cabernet franc blends, elegant merlot, and aromatic viognier."
Asuncion Ridge Vineyards Tasting Room,"3520 Creston Rd, Paso Robles, CA 93446",6,40,"Known for inky petite sirah, crisp sauvignon blanc, classic gsm blends (grenache‑syrah‑mourvèdre), and spicy zinfandel."
Austin Hope & Treana Tasting Cellar,"1585 Live Oak Rd, Paso Robles, CA 93446",17,50,Showcases peppery syrah and complex roussanne.
Austin Hope Winery,5625 Vineyard Drive Paso Robles CA 93446,5,50,Showcases aromatic viognier and innovative red field blends.
B & E Vineyard & Winery,"10010 Creston Rd, Paso Robles, CA 93446",4,35,Showcases innovative red field blends and inky petite sirah.
Barr Estate Winery,"6950 Union Rd, Paso Robles, CA 93446",6,35,Showcases barrel‑fermented chardonnay and cabernet franc blends.
Barton Family Wines,"2174 CA-46, Paso Robles, CA 93446",10,10,"Known for vibrant marsanne, complex roussanne, and elegant merlot."
Bella Luna Estate Winery,"1850 Templeton Rd, Templeton, CA 93465",11,20,"Known for peppery syrah, complex roussanne, and rich petit verdot."
Benom Wines,"2959 Limestone Way, Paso Robles, CA 93446",20,20,Showcases peppery syrah and vibrant marsanne.
Bethel Rd. Distillery & Winery,"1266 N Bethel Rd, Templeton, CA 93465",4,35,Showcases savory mourvèdre and refreshing grenache blanc.
Bianchi Winery,"3380 Branch Rd, Paso Robles, CA 93446",10,50,Showcases estate grenache and innovative red field blends.
Booker Vineyard,2640 Anderson Road Paso Robles CA 93446,17,35,"Known for velvety malbec, spicy zinfandel, refreshing grenache blanc, and estate grenache."
Booker Vineyard and Winery,"2644 Anderson Rd, Paso Robles, CA 93446",11,25,"Known for inky petite sirah, complex roussanne, spicy zinfandel, and bold cabernet sauvignon."
Bovino Vineyards,"5685 El Pomar Dr, Templeton, CA 93465",18,20,Showcases bold cabernet sauvignon and estate grenache.
Brecon Estate,"7450 Vineyard Dr, Paso Robles, CA 93446",12,10,"Known for inky petite sirah, spicy zinfandel, and peppery syrah."
Broken Earth Winery,"5625 CA-46, Paso Robles, CA 93446",4,40,"Known for aromatic viognier, rich petit verdot, and cabernet franc blends."
Calcareous Vineyard,"3430 Peachy Canyon Rd, Paso Robles, CA 93446",9,15,"Known for barrel‑fermented chardonnay, peppery syrah, and savory mourvèdre."
CaliPaso Winery & Villa,"4230 Buena Vista Dr, Paso Robles, CA 93446",17,40,Showcases inky petite sirah and cabernet franc blends.
Caliza Winery,3530 Peachy Canyon Road Paso Robles CA 93446,14,15,Showcases cabernet franc blends and crisp sauvignon blanc.
Carmody McKnight Estate Wines,11240 Chimney Rock Road Paso Robles CA 93446,12,10,"Known for barrel‑fermented chardonnay, cabernet franc blends, and bold cabernet sauvignon."
Cass Winery,"7350 Linne Rd, Paso Robles, CA 93446",8,35,Showcases estate grenache and bold cabernet sauvignon.
Castoro Cellars,"1315 N Bethel Rd, Templeton, CA 93465",10,45,Showcases aromatic viognier and refreshing grenache blanc.
Cayucos Cellars,131 North Ocean Avenue Cayucos CA 93430,14,15,Showcases crisp sauvignon blanc and bold cabernet sauvignon.
Chateau Margene,4385 La Panza Road Creston CA 93432,7,10,"Known for estate grenache, savory mourvèdre, complex roussanne, and velvety malbec."
Chronic Cellars,"2020 Nacimiento Lake Dr, Paso Robles, CA 93446",6,15,Showcases peppery syrah and refreshing grenache blanc.
Clos LaChance Winery,1 Hummingbird Lane San Martin CA 95046,16,20,"Known for estate grenache, inky petite sirah, bold cabernet sauvignon, and savory mourvèdre."
Clos Solene,2918 Anderson Road Paso Robles CA 93446,7,20,"Known for vibrant marsanne, rich petit verdot, spicy zinfandel, and elegant merlot."
Clos Solène,"2040 Niderer Rd, Paso Robles, CA 93446",15,10,"Known for barrel‑fermented chardonnay, estate grenache, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Cordant Winery,"3310 Ramada Dr Suite A, Paso Robles, CA 93446",15,30,Showcases complex roussanne and savory mourvèdre.
Croad Vineyards,"3550 Vinedo Robles Ln, Paso Robles, CA 93446",12,40,Showcases vibrant marsanne and estate grenache.
Cypher Winery,7020 Vineyard Drive Paso Robles CA 93446,5,45,"Known for peppery syrah, velvety malbec, complex roussanne, and crisp sauvignon blanc."
DAOU Vineyards & Winery,"2777 Hidden Mountain Rd, Paso Robles, CA 93446",18,30,"Known for aromatic viognier, refreshing grenache blanc, and cabernet franc blends."
Daou Vineyards,2777 Hidden Mountain Road Paso Robles CA 93446,7,45,"Known for vibrant marsanne, savory mourvèdre, rich petit verdot, and elegant merlot."
Dark Star Cellars,2985 Anderson Road Paso Robles CA 93446,16,10,"Known for rich petit verdot, velvety malbec, inky petite sirah, and barrel‑fermented chardonnay."
Denner Vineyards,"5414 Vineyard Dr, Paso Robles, CA 93446",6,30,"Known for innovative red field blends, vibrant marsanne, and velvety malbec."
Derby Wine Estates,525 Pine Street Paso Robles CA 93446,13,35,Showcases savory mourvèdre and spicy zinfandel.
Doce Robles Winery & Vineyard,2023 Twelve Oaks Drive Paso Robles CA 93446,15,50,"Known for elegant merlot, peppery syrah, bold cabernet sauvignon, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Dover Canyon Winery,4520 Vineyard Drive Paso Robles CA 93446,10,45,"Known for velvety malbec, classic gsm blends (grenache‑syrah‑mourvèdre), rich petit verdot, and elegant merlot."
Dubost Winery,"9988 Chimney Rock Rd, Paso Robles, CA 93446",6,25,"Known for elegant merlot, complex roussanne, estate grenache, and barrel‑fermented chardonnay."
Dunning Vineyards,1953 Niderer Road Paso Robles CA 93446,5,50,Showcases vibrant marsanne and elegant merlot.
Eberle Winery,"3810 CA-46, Paso Robles, CA 93446",11,35,Showcases classic gsm blends (grenache‑syrah‑mourvèdre) and spicy zinfandel.
Edward Sellers Vineyards & Wines,1200 Park Street Paso Robles CA 93446,13,10,"Known for barrel‑fermented chardonnay, rich petit verdot, peppery syrah, and innovative red field blends."
Epoch Estate Wines,"7505 York Mountain Rd, Templeton, CA 93465",6,40,"Known for vibrant marsanne, spicy zinfandel, aromatic viognier, and barrel‑fermented chardonnay."
Field Recordings Winery,"3070 Limestone Way, Paso Robles, CA 93446",11,50,Showcases vibrant marsanne and aromatic viognier.
Finestra Winery,2840 Union Road Paso Robles CA 93446,7,40,Showcases cabernet franc blends and bold cabernet sauvignon.
Four Lanterns Winery,"2485 West Highway 46, Paso Robles, CA 93446",16,50,"Known for aromatic viognier, barrel‑fermented chardonnay, elegant merlot, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Four Sisters Winery,783 13th Street Paso Robles CA 93446,12,45,"Known for velvety malbec, peppery syrah, cabernet franc blends, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Fratelli Perata,"1595 Arbor Rd, Paso Robles, CA 93446",18,50,"Known for refreshing grenache blanc, complex roussanne, barrel‑fermented chardonnay, and peppery syrah."
Glunz Family Winery & Cellars,"8331 CA-46 E, Paso Robles, CA 93446",15,40,Showcases estate grenache and elegant merlot.
Graveyard Vineyards,"6990 Estrella Rd, San Miguel, CA 93451",9,35,"Known for complex roussanne, barrel‑fermented chardonnay, and savory mourvèdre."
Grey Wolf Cellars,"2174 W Highway 46, Paso Robles, CA 93446",15,50,"Known for savory mourvèdre, refreshing grenache blanc, and barrel‑fermented chardonnay."
Halcyon Wines,"2910 Limestone Way Suite B, Paso Robles, CA 93446",15,10,Showcases complex roussanne and cabernet franc blends.
Halter Ranch Vineyard,"8910 Adelaida Rd, Paso Robles, CA 93446",10,20,"Known for innovative red field blends, spicy zinfandel, bold cabernet sauvignon, and savory mourvèdre."
HammerSky Vineyards,"7725 Vineyard Dr, Paso Robles, CA 93446",12,15,Showcases velvety malbec and rich petit verdot.
Hansen Vineyards,1820 Templeton Road Paso Robles CA 93446,6,45,Showcases crisp sauvignon blanc and vibrant marsanne.
Happy Canyon Vineyard,5480 Vineyard Drive Paso Robles CA 93446,9,30,"Known for cabernet franc blends, aromatic viognier, and innovative red field blends."
Harmony Cellars,"3255 Harmony Valley Rd, Harmony, CA 93435",11,20,"Known for estate grenache, velvety malbec, and cabernet franc blends."
Hearst Ranch Winery,442 SLO San Simeon Road San Simeon CA 93452,9,35,Showcases vibrant marsanne and classic gsm blends (grenache‑syrah‑mourvèdre).
Hearst Ranch Winery (San Simeon),"442 SLO San Simeon Rd, San Simeon, CA 93452",18,35,"Known for vibrant marsanne, velvety malbec, estate grenache, and peppery syrah."
Herman Story Wines,5725 Vineyard Drive Paso Robles CA 93446,16,50,"Known for aromatic viognier, estate grenache, and barrel‑fermented chardonnay."
Hope Family Wines,"1585 Live Oak Rd, Paso Robles, CA 93446",12,40,Showcases inky petite sirah and crisp sauvignon blanc.
Hunt Cellars,"2875 Oakdale Rd, Paso Robles, CA 93446",11,15,Showcases elegant merlot and crisp sauvignon blanc.
Iglesia Pintada,2920 Anderson Road Paso Robles CA 93446,14,45,"Known for spicy zinfandel, rich petit verdot, and barrel‑fermented chardonnay."
J. Dusi Wines,"1401 CA-46, Paso Robles, CA 93446",5,40,"Known for estate grenache, rich petit verdot, inky petite sirah, and elegant merlot."
J. Lohr Vineyards & Wines,"6169 Airport Rd, Paso Robles, CA 93446",11,35,"Known for aromatic viognier, estate grenache, and elegant merlot."
Jack Creek Cellars,5265 Jack Creek Road Templeton CA 93465,5,10,"Known for savory mourvèdre, innovative red field blends, velvety malbec, and rich petit verdot."
Jada Vineyard & Winery,"5620 Vineyard Dr, Paso Robles, CA 93446",14,25,"Known for complex roussanne, vibrant marsanne, rich petit verdot, and inky petite sirah."
Justin Vineyards & Winery,"11680 Chimney Rock Rd, Paso Robles, CA 93446",16,15,"Known for savory mourvèdre, inky petite sirah, complex roussanne, and barrel‑fermented chardonnay."
Kaleidos Winery,2400 Ramada Drive Paso Robles CA 93446,12,35,"Known for bold cabernet sauvignon, complex roussanne, and cabernet franc blends."
Kiamie Wine Cellars,"9750 Adelaida Rd, Paso Robles, CA 93446",6,10,"Known for bold cabernet sauvignon, innovative red field blends, velvety malbec, and estate grenache."
Kimsey Vineyard & Winery,8910 Union Road Paso Robles CA 93446,10,35,"Known for barrel‑fermented chardonnay, savory mourvèdre, and inky petite sirah."
Krobar Distillery,2025 12th Street Paso Robles CA 93446,14,25,Showcases classic gsm blends (grenache‑syrah‑mourvèdre) and elegant merlot.
Kukkula Winery,"9515 Chimney Rock Rd, Paso Robles, CA 93446",10,40,Showcases elegant merlot and rich petit verdot.
L'Aventure Winery,"2815 Live Oak Rd, Paso Robles, CA 93446",19,50,"Known for elegant merlot, aromatic viognier, cabernet franc blends, and complex roussanne."
LXV Wine,"1306 Pine St, Paso Robles, CA 93446",16,50,"Known for aromatic viognier, bold cabernet sauvignon, vibrant marsanne, and peppery syrah."
La Crema Tasting Room,1237 Park Street Paso Robles CA 93446,18,10,"Known for innovative red field blends, crisp sauvignon blanc, vibrant marsanne, and rich petit verdot."
La Vigne Winery,"5115 Buena Vista Dr, Paso Robles, CA 93446",8,30,"Known for cabernet franc blends, barrel‑fermented chardonnay, crisp sauvignon blanc, and spicy zinfandel."
Law Estate Wines,1107 12th Street Paso Robles CA 93446,12,45,"Known for peppery syrah, spicy zinfandel, barrel‑fermented chardonnay, and bold cabernet sauvignon."
Le Cuvier Winery,"3333 Vine Hill Ln, Paso Robles, CA 93446",8,25,"Known for spicy zinfandel, complex roussanne, innovative red field blends, and elegant merlot."
Le Vigne Winery,5115 Buena Vista Drive Paso Robles CA 93446,11,50,Showcases estate grenache and velvety malbec.
Levo Wine,"2975 Limestone Way, Paso Robles, CA 93446",12,45,Showcases barrel‑fermented chardonnay and vibrant marsanne.
Levy & McClellan Winery,1441 Templeton Road Paso Robles CA 93446,17,20,Showcases estate grenache and innovative red field blends.
Linn's Fruit Bin,2277 Main Street Cambria CA 93428,16,20,"Known for refreshing grenache blanc, classic gsm blends (grenache‑syrah‑mourvèdre), aromatic viognier, and barrel‑fermented chardonnay."
Linne Calodo Cellars,3030 Vineyard Drive Paso Robles CA 93446,15,50,Showcases velvety malbec and refreshing grenache blanc.
Lone Madrone,"5800 Adelaida Rd, Paso Robles, CA 93446",11,45,"Known for bold cabernet sauvignon, cabernet franc blends, and innovative red field blends."
Mad Dogs & Englishmen,3115 Anderson Road Paso Robles CA 93446,8,40,Showcases rich petit verdot and spicy zinfandel.
Martin & Weyrich Winery,2610 Buena Vista Drive Paso Robles CA 93446,20,45,"Known for rich petit verdot, spicy zinfandel, inky petite sirah, and savory mourvèdre."
McPrice Myers Wines,"3190 Anderson Rd, Paso Robles, CA 93446",19,10,Showcases spicy zinfandel and vibrant marsanne.
Midnight Cellars,"2925 Anderson Rd, Paso Robles, CA 93446",6,10,"Known for complex roussanne, rich petit verdot, spicy zinfandel, and vibrant marsanne."
Mitchella Vineyard & Winery,5825 Cross Canyons Road San Miguel CA 93451,5,20,Showcases innovative red field blends and vibrant marsanne.
Niner Wine Estates,"2400 CA-46, Paso Robles, CA 93446",7,45,"Known for rich petit verdot, velvety malbec, peppery syrah, and estate grenache."
ONX Wines,"2910 Limestone Way, Paso Robles, CA 93446",8,25,Showcases peppery syrah and bold cabernet sauvignon.
Opolo Vineyards,"7110 Vineyard Dr, Paso Robles, CA 93446",9,10,Showcases crisp sauvignon blanc and rich petit verdot.
Oso Libre Winery,"7383 Vineyard Dr, Paso Robles, CA 93446",17,30,"Known for classic gsm blends (grenache‑syrah‑mourvèdre), barrel‑fermented chardonnay, bold cabernet sauvignon, and refreshing grenache blanc."
Parrish Family Vineyard,"3590 Adelaida Rd, Paso Robles, CA 93446",6,35,"Known for innovative red field blends, elegant merlot, and complex roussanne."
Paso Port Wine,8400 Vineyard Drive Paso Robles CA 93446,16,30,Showcases cabernet franc blends and classic gsm blends (grenache‑syrah‑mourvèdre).
PasoPort Wine Company,"95 Booker Rd, Templeton, CA 93465",16,40,Showcases classic gsm blends (grenache‑syrah‑mourvèdre) and vibrant marsanne.
Peachy Canyon Winery,"1480 N Bethel Rd, Templeton, CA 93465",18,40,Showcases estate grenache and peppery syrah.
Pear Valley Vineyard,4900 Union Road Paso Robles CA 93446,20,10,Showcases peppery syrah and savory mourvèdre.
Pear Valley Vineyards,"4900 Union Rd, Paso Robles, CA 93446",12,15,"Known for cabernet franc blends, barrel‑fermented chardonnay, and peppery syrah."
Pelletiere Estate Vineyard & Winery,"3280 Township Rd, Paso Robles, CA 93446",4,15,"Known for complex roussanne, spicy zinfandel, classic gsm blends (grenache‑syrah‑mourvèdre), and peppery syrah."
Pendray's Distillery,1653 Calle Joaquin San Luis Obispo CA 93405,7,50,"Known for estate grenache, velvety malbec, barrel‑fermented chardonnay, and aromatic viognier."
Penman Springs Vineyard,1985 Penman Springs Road Pas Robles CA 93446,12,35,Showcases refreshing grenache blanc and innovative red field blends.
Pomar Junction Vineyard & Winery,"5036 S El Pomar Rd, Templeton, CA 93465",14,15,"Known for cabernet franc blends, complex roussanne, elegant merlot, and refreshing grenache blanc."
Rabbit Ridge Winery,1172 San Marcos Road Paso Robles CA 93446,7,15,"Known for velvety malbec, barrel‑fermented chardonnay, bold cabernet sauvignon, and estate grenache."
Rangeland Wines,"5225 Vineyard Dr, Paso Robles, CA 93446",13,40,"Known for vibrant marsanne, estate grenache, cabernet franc blends, and crisp sauvignon blanc."
Rava Wines,"6785 Creston Rd, Paso Robles, CA 93446",17,10,Showcases inky petite sirah and velvety malbec.
Red Soles Winery,"3230 Oakdale Rd, Paso Robles, CA 93446",9,50,"Known for estate grenache, velvety malbec, savory mourvèdre, and barrel‑fermented chardonnay."
Renegade Wine Company,2910 Anderson Road Paso Robles CA 93446,18,40,"Known for savory mourvèdre, barrel‑fermented chardonnay, peppery syrah, and bold cabernet sauvignon."
Rio Seco Vineyard & Winery,4295 Union Road Paso Robles CA 93446,4,15,"Known for crisp sauvignon blanc, velvety malbec, and vibrant marsanne."
Riverstar Vineyards,"7450 Estrella Rd, San Miguel, CA 93451",12,50,"Known for savory mourvèdre, innovative red field blends, and estate grenache."
Robert Hall Winery,"3443 Mill Rd, Paso Robles, CA 93446",20,40,"Known for complex roussanne, savory mourvèdre, cabernet franc blends, and aromatic viognier."
Rotta Winery,"250 Winery Rd, Templeton, CA 93465",9,10,"Known for crisp sauvignon blanc, classic gsm blends (grenache‑syrah‑mourvèdre), and velvety malbec."
SLO Down Wines,1200 Park Street Paso Robles CA 93446,20,35,"Known for crisp sauvignon blanc, aromatic viognier, and classic gsm blends (grenache‑syrah‑mourvèdre)."
San Antonio Winery,"2610 Buena Vista Dr, Paso Robles, CA 93446",7,30,"Known for velvety malbec, bold cabernet sauvignon, and estate grenache."
Sarzotti Vineyard & Winery,"180 Bella Ranch Rd, Templeton, CA 93465",13,45,"Known for peppery syrah, estate grenache, and aromatic viognier."
Sculpterra Winery,5015 Linne Road Paso Robles CA 93446,20,10,"Known for bold cabernet sauvignon, spicy zinfandel, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Sculpterra Winery & Sculpture Garden,"5015 Linne Rd, Paso Robles, CA 93446",10,50,"Known for classic gsm blends (grenache‑syrah‑mourvèdre), spicy zinfandel, peppery syrah, and innovative red field blends."
Seven Oxen Estate Wines,"3340 Ramada Dr Suite A, Paso Robles, CA 93446",8,35,"Known for savory mourvèdre, rich petit verdot, and inky petite sirah."
Sextant Wines,"2324 West Highway 46, Paso Robles, CA 93446",15,40,"Known for savory mourvèdre, peppery syrah, bold cabernet sauvignon, and innovative red field blends."
Shale Oak Winery,"3235 Oakdale Rd, Paso Robles, CA 93446",9,35,"Known for bold cabernet sauvignon, aromatic viognier, peppery syrah, and inky petite sirah."
Silver Horse Winery,2995 Pleasant Road San Miguel CA 93451,20,10,Showcases elegant merlot and cabernet franc blends.
Steinbeck Vineyards & Winery,"5940 Union Rd, Paso Robles, CA 93446",4,20,"Known for aromatic viognier, savory mourvèdre, complex roussanne, and spicy zinfandel."
Still Waters Vineyards,"2750 Old Grove Ln, Paso Robles, CA 93446",14,40,"Known for savory mourvèdre, estate grenache, aromatic viognier, and peppery syrah."
Summerwood Winery,2175 Arbor Road Paso Robles CA 93446,19,15,Showcases barrel‑fermented chardonnay and crisp sauvignon blanc.
TH Estate Wines,5150 Vineyard Drive Paso Robles CA 93446,4,20,"Known for rich petit verdot, classic gsm blends (grenache‑syrah‑mourvèdre), and complex roussanne."
Tablas Creek Vineyard,"9339 Adelaida Rd, Paso Robles, CA 93446",7,35,Showcases rich petit verdot and barrel‑fermented chardonnay.
Templeton Hills Winery,620 Templeton Road Templeton CA 93465,15,25,"Known for innovative red field blends, aromatic viognier, and estate grenache."
Terry Hoage Vineyards,870 South Bethel Road Templeton CA 93465,13,15,Showcases vibrant marsanne and spicy zinfandel.
Thacher Winery,8355 Vineyard Drive Paso Robles CA 93446,11,10,"Known for estate grenache, refreshing grenache blanc, and vibrant marsanne."
Thacher Winery & Vineyard,"8355 Vineyard Dr, Paso Robles, CA 93446",5,50,"Known for complex roussanne, vibrant marsanne, and barrel‑fermented chardonnay."
The Hatch Wines,4210 Buena Vista Drive Paso Robles CA 93446,11,40,"Known for bold cabernet sauvignon, rich petit verdot, barrel‑fermented chardonnay, and innovative red field blends."
Tobin James Cellars,"8950 Union Rd, Paso Robles, CA 93446",6,50,Showcases rich petit verdot and refreshing grenache blanc.
Tooth & Nail Winery,"3090 Anderson Rd, Paso Robles, CA 93446",6,30,"Known for inky petite sirah, barrel‑fermented chardonnay, estate grenache, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Turley Wine Cellars,"2900 Vineyard Dr, Templeton, CA 93465",19,20,"Known for innovative red field blends, velvety malbec, and crisp sauvignon blanc."
Turtle Rock Vineyard,1585 Live Oak Road Paso Robles CA 93446,6,30,"Known for classic gsm blends (grenache‑syrah‑mourvèdre), refreshing grenache blanc, and velvety malbec."
Twin Coyotes Winery,"15490 El Camino Real, Santa Margarita, CA 93453",8,40,"Known for rich petit verdot, crisp sauvignon blanc, classic gsm blends (grenache‑syrah‑mourvèdre), and spicy zinfandel."
Union Sacré Wines,"3060 Limestone Way, Paso Robles, CA 93446",8,35,"Known for inky petite sirah, estate grenache, aromatic viognier, and cabernet franc blends."
Venteux Vineyards,"1795 Las Tablas Rd, Templeton, CA 93465",19,20,Showcases vibrant marsanne and spicy zinfandel.
Victor Hugo Winery,"2850 El Pomar Dr, Templeton, CA 93465",9,50,"Known for savory mourvèdre, peppery syrah, and elegant merlot."
Villa Creek,5995 Linne Road Paso Robles CA 93446,12,35,"Known for vibrant marsanne, peppery syrah, and complex roussanne."
Villa Creek Cellars (MAHA Estate),"9990 Chimney Rock Rd, Paso Robles, CA 93446",20,50,"Known for spicy zinfandel, inky petite sirah, elegant merlot, and complex roussanne."
Villa San-Juliette Vineyard & Winery,6385 Cross Canyons Road San Miguel CA 93451,17,15,"Known for bold cabernet sauvignon, elegant merlot, and complex roussanne."
Villicana Winery,"2725 Adelaida Rd, Paso Robles, CA 93446",10,20,"Known for inky petite sirah, classic gsm blends (grenache‑syrah‑mourvèdre), refreshing grenache blanc, and spicy zinfandel."
Vina Robles,3700 Mill Road Paso Robles CA 93446,10,40,"Known for classic gsm blends (grenache‑syrah‑mourvèdre), savory mourvèdre, and bold cabernet sauvignon."
Vina Robles Vineyards & Winery,"3700 Mill Rd, Paso Robles, CA 93446",13,40,"Known for peppery syrah, vibrant marsanne, elegant merlot, and spicy zinfandel."
Vineyard Drive Vintners,615 12th Street Paso Robles CA 93446,16,10,"Known for velvety malbec, cabernet franc blends, peppery syrah, and crisp sauvignon blanc."
Vivac Vineyard,2565 Anderson Road Paso Robles CA 93446,15,20,"Known for estate grenache, savory mourvèdre, crisp sauvignon blanc, and refreshing grenache blanc."
Volatus Wine,"315 S Main St, Templeton, CA 93465",18,45,Showcases spicy zinfandel and estate grenache.
Whalebone Vineyard,"8325 Vineyard Dr, Paso Robles, CA 93446",20,10,"Known for inky petite sirah, rich petit verdot, and classic gsm blends (grenache‑syrah‑mourvèdre)."
Wild Horse Winery & Vineyards,"1437 Wild Horse Winery Ct, Templeton, CA 93465",18,35,"Known for innovative red field blends, velvety malbec, and estate grenache."
Windward Vineyard,"1380 Live Oak Rd, Paso Robles, CA 93446",7,45,Showcases spicy zinfandel and rich petit verdot.
Zenaida Cellars,"1550 CA-46, Paso Robles, CA 93446",11,45,Showcases inky petite sirah and barrel‑fermented chardonnay.
Zinful Zin Vineyard & Winery,1850 Templeton Road Templeton CA 93465,11,30,"Known for spicy zinfandel, savory mourvèdre, crisp sauvignon blanc, and elegant merlot."
Écluse Wines,"1520 Kiler Canyon Rd, Paso Robles, CA 93446",6,40,"Known for cabernet franc blends, classic gsm blends (grenache‑syrah‑mourvèdre), spicy zinfandel, and innovative red field blends."
